date,day_of_week,meal,attendance,planned_servings,waste_kg,avg_rating,occupancy_pct
2026-05-09,Saturday,Dinner,115,200,32.58,3.3,60.3
2026-05-10,Sunday,Breakfast,73,200,45.21,3.7,36.0
2026-05-10,Sunday,Lunch,116,200,30.2,4.9,59.2
2026-05-10,Sunday,Snacks,62,200,49.14,4.8,29.6
2026-05-10,Sunday,Dinner,93,200,39.04,3.6,49.8
2026-05-11,Monday,Breakfast,93,200,37.69,3.4,45.1
2026-05-11,Monday,Lunch,177,200,9.15,4.1,93.0
2026-05-11,Monday,Snacks,70,200,47.95,4.5,32.3
2026-05-11,Monday,Dinner,135,200,24.84,4.6,67.4
2026-05-12,Tuesday,Breakfast,125,200,26.3,3.8,60.9
2026-05-12,Tuesday,Lunch,171,200,10.44,4.9,86.5
2026-05-12,Tuesday,Snacks,98,200,38.51,2.8,49.1
2026-05-12,Tuesday,Dinner,154,200,16.73,3.9,82.4
2026-05-13,Wednesday,Breakfast,96,200,38.38,4.5,51.3
2026-05-13,Wednesday,Lunch,141,200,23.64,4.9,73.9
2026-05-13,Wednesday,Snacks,91,200,40.05,3.3,45.7
2026-05-13,Wednesday,Dinner,145,200,21.94,4.7,79.2
2026-05-14,Thursday,Breakfast,113,200,33.0,4.8,63.3
2026-05-14,Thursday,Lunch,179,200,9.17,2.5,86.0
2026-05-14,Thursday,Snacks,94,200,40.02,3.2,46.6
2026-05-14,Thursday,Dinner,131,200,26.23,4.1,63.9
2026-05-15,Friday,Breakfast,122,200,27.35,3.7,58.7
2026-05-15,Friday,Lunch,147,200,21.1,4.1,77.0
2026-05-15,Friday,Snacks,71,200,46.68,4.1,34.3
2026-05-15,Friday,Dinner,159,200,17.27,3.5,87.9
2026-05-16,Saturday,Breakfast,88,200,40.5,3.4,48.7
2026-05-16,Saturday,Lunch,132,200,24.39,4.3,65.2
2026-05-16,Saturday,Snacks,74,200,46.41,2.6,46.9
2026-05-16,Saturday,Dinner,121,200,30.51,4.8,61.1
2026-05-17,Sunday,Breakfast,98,200,38.48,3.6,58.5
2026-05-17,Sunday,Lunch,134,200,26.04,2.7,66.6
2026-05-17,Sunday,Snacks,71,200,47.7,3.3,33.0
2026-05-17,Sunday,Dinner,116,200,30.58,4.6,67.0
2026-05-18,Monday,Breakfast,113,200,31.08,4.2,56.9
2026-05-18,Monday,Lunch,166,200,12.79,3.3,90.7
2026-05-18,Monday,Snacks,68,200,48.31,3.4,33.4
2026-05-18,Monday,Dinner,155,200,18.18,4.7,86.2
2026-05-19,Tuesday,Breakfast,96,200,37.9,4.5,52.7
2026-05-19,Tuesday,Lunch,155,200,15.9,4.7,72.9
2026-05-19,Tuesday,Snacks,93,200,37.73,3.9,42.0
2026-05-19,Tuesday,Dinner,154,200,16.57,5.0,84.6
2026-05-20,Wednesday,Breakfast,111,200,31.9,2.6,55.0
2026-05-20,Wednesday,Lunch,176,200,9.97,4.4,86.2
2026-05-20,Wednesday,Snacks,64,200,48.97,4.6,29.9
2026-05-20,Wednesday,Dinner,159,200,15.97,4.1,85.4
2026-05-21,Thursday,Breakfast,102,200,37.21,4.3,46.6
2026-05-21,Thursday,Lunch,158,200,16.02,2.7,74.4
2026-05-21,Thursday,Snacks,82,200,42.58,4.2,36.9
2026-05-21,Thursday,Dinner,130,200,25.83,3.1,61.4
2026-05-22,Friday,Breakfast,114,200,32.08,3.2,66.3
2026-05-22,Friday,Lunch,178,200,9.67,3.6,95.0
2026-05-22,Friday,Snacks,62,200,49.04,3.4,37.4
2026-05-22,Friday,Dinner,158,200,15.05,2.6,74.6
2026-05-23,Saturday,Breakfast,66,200,48.32,2.7,35.4
2026-05-23,Saturday,Lunch,138,200,22.74,3.7,73.7
2026-05-23,Saturday,Snacks,49,200,55.7,4.7,23.4
2026-05-23,Saturday,Dinner,101,200,36.53,3.8,58.3
2026-05-24,Sunday,Breakfast,66,200,48.95,4.0,42.2
2026-05-24,Sunday,Lunch,101,200,34.73,4.0,59.6
2026-05-24,Sunday,Snacks,63,200,49.98,3.9,28.4
2026-05-24,Sunday,Dinner,128,200,27.08,4.6,68.8
2026-05-25,Monday,Breakfast,118,200,28.91,2.8,54.3
2026-05-25,Monday,Lunch,174,200,10.11,4.1,87.8
2026-05-25,Monday,Snacks,69,200,45.92,4.5,33.7
2026-05-25,Monday,Dinner,133,200,25.53,3.4,75.5
2026-05-26,Tuesday,Breakfast,125,200,27.5,4.9,65.7
2026-05-26,Tuesday,Lunch,176,200,10.65,4.5,97.9
2026-05-26,Tuesday,Snacks,95,200,37.87,4.4,47.6
2026-05-26,Tuesday,Dinner,161,200,16.23,3.6,86.8
2026-05-27,Wednesday,Breakfast,114,200,30.81,3.4,60.0
2026-05-27,Wednesday,Lunch,159,200,16.83,3.3,87.9
2026-05-27,Wednesday,Snacks,95,200,36.78,4.8,43.9
2026-05-27,Wednesday,Dinner,136,200,25.27,4.2,70.2
2026-05-28,Thursday,Breakfast,105,200,34.6,3.2,52.4
2026-05-28,Thursday,Lunch,160,200,16.26,4.5,86.8
2026-05-28,Thursday,Snacks,98,200,38.69,2.6,55.1
2026-05-28,Thursday,Dinner,158,200,15.75,2.8,76.1
2026-05-29,Friday,Breakfast,99,200,37.86,4.7,57.1
2026-05-29,Friday,Lunch,152,200,17.47,3.5,84.4
2026-05-29,Friday,Snacks,61,200,48.89,2.7,40.3
2026-05-29,Friday,Dinner,130,200,27.14,3.1,73.6
2026-05-30,Saturday,Breakfast,65,200,48.3,4.3,34.7
2026-05-30,Saturday,Lunch,138,200,22.97,4.8,65.7
2026-05-30,Saturday,Snacks,42,200,56.06,3.5,24.6
2026-05-30,Saturday,Dinner,111,200,31.51,2.8,60.2
2026-05-31,Sunday,Breakfast,62,200,50.34,3.1,32.0
2026-05-31,Sunday,Lunch,124,200,29.21,3.1,71.4
2026-05-31,Sunday,Snacks,71,200,46.82,3.3,31.2
2026-05-31,Sunday,Dinner,112,200,33.78,2.7,59.3
2026-06-01,Monday,Breakfast,109,200,32.08,2.9,52.8
2026-06-01,Monday,Lunch,154,200,17.46,4.1,80.8
2026-06-01,Monday,Snacks,75,200,45.96,4.8,46.9
2026-06-01,Monday,Dinner,145,200,21.92,3.6,76.8
2026-06-02,Tuesday,Breakfast,97,200,36.56,4.1,49.3
2026-06-02,Tuesday,Lunch,167,200,11.78,4.9,93.3
2026-06-02,Tuesday,Snacks,76,200,44.24,3.5,42.0
2026-06-02,Tuesday,Dinner,158,200,15.1,2.7,88.1
2026-06-03,Wednesday,Breakfast,94,200,38.94,3.5,56.0
2026-06-03,Wednesday,Lunch,144,200,19.68,3.4,79.2
2026-06-03,Wednesday,Snacks,91,200,41.11,3.4,51.7
2026-06-03,Wednesday,Dinner,154,200,19.01,4.6,84.6
2026-06-04,Thursday,Breakfast,123,200,27.06,2.8,56.7
2026-06-04,Thursday,Lunch,145,200,21.33,3.8,78.7
2026-06-04,Thursday,Snacks,62,200,49.97,4.4,40.2
2026-06-04,Thursday,Dinner,139,200,22.48,3.1,67.6
